Date_&_Time,Mill_TPH,Clinker_TPH,Gypsum_TPH,DFA_TPH,WFA_TPH,Mill_KW,Mill_Inlet_Temp,Mill_Outlet_Temp,Mill_Outlet_BE_Amp,Mill_Vent_Fan_RPM,Mill_Vent_Fan_KW,Mill_Vent_BF_Inlet_Draft,Mill_Vent_BF_Outlet_Draft,Reject,Sep_RPM,Sep_KW,Sep_Amp,CA_Fan_RPM,CA_Fan_KW,Mill_Folaphone,Mill_Inlet_Draft,Mill_Outlet_Draft,Sep_Vent_Inlet_Draft,Sep_Vent_Outlet_Draft,Sep_Vent_bag_filter_fan_kw,Sep_Vent_bag_filter_fan_rpm,Residue
05-06-2022 18:35,163.18,100.84,5.22,52.22,4.9,3678.49,32.25,93.11,43.55,880,40.28,81.73,194.35,103.59,947.35,47.24,137.98,905.37,330.03,96.79,20.6,84.6,135.3,213.7,13.99,750,15
05-06-2022 19:34,161.47,99.79,5.17,51.67,4.84,3557.42,33.04,98.23,57.99,880,43.55,75.86,177.41,92.43,896.66,75.97,150.43,895.35,336.71,96.87,24.9,89.8,132.7,211.6,14.36,750,15.4
05-06-2022 20:39,161.74,99.95,5.18,51.76,4.85,3461.76,33.81,88.32,47.81,889.99,43.2,80.54,205.54,149.48,937.34,63.42,134.61,905.35,328.18,95.72,19.8,90,132.8,212.3,14.69,750,15.8
05-06-2022 22:35,161.77,99.97,5.18,51.77,4.85,3560.2,34.2,82.72,48.65,889.99,43.72,71.83,161,67.24,942.37,43.47,132.05,905.31,337.79,97.04,22.3,87,132.8,212.5,14.29,750,13.6
05-06-2022 23:25,161.52,99.82,5.17,51.69,4.85,3608.51,34.32,93.36,53.36,899.94,42.68,85.71,186.23,140.88,951.21,74.96,154.16,900.46,316.68,96.7,23.2,89.8,134.3,212.3,14.23,750,14.2
06-06-2022 00:23,164.44,101.62,5.26,52.62,4.93,3683.62,29.64,89.27,48.13,899.94,43.83,80.35,206.66,66.73,952.51,44.5,133.58,900.3,328.57,96.9,20.2,88.3,132.3,211.3,14.23,750,14.3
06-06-2022 01:27,164.22,101.49,5.26,52.55,4.93,3685.49,31.64,90.08,46.86,899.94,43.82,78.16,208.75,73.55,962.27,51.32,139.73,900.32,326.75,96.88,20.3,85,132.6,212.6,14.74,750,15.3
06-06-2022 02:29,163.26,100.9,5.22,52.24,4.9,3583.27,31.22,89.65,48.07,899.94,43.88,78.34,207.42,38.1,962.1,49.99,139.51,900.33,336.57,96.4,22.9,88.5,133.6,212.6,14.5,750,14.2
06-06-2022 03:24,163.82,101.24,5.24,52.42,4.91,3639.06,33.56,89.26,51.71,899.94,43.62,84.98,200.5,113.11,957.88,53.35,143.67,900.37,322.6,97.09,20.6,85,133.6,212.8,14.36,750,13.6
06-06-2022 04:29,163.2,100.86,5.22,52.22,4.9,3656.74,33.18,84.92,46.57,889.99,43.91,89.7,165.46,94.8,941.93,61.98,131.19,895.37,336.49,96.46,22.56,87,132.4,212.6,14.23,750,15.2
06-06-2022 06:31,163.87,101.27,5.24,52.44,4.92,3658.09,31.33,88.48,42.84,899.94,42.81,85.55,181.9,140.8,957.69,42.18,131.96,900.31,327.9,97,18.9,86.8,134.6,21.6,14.36,750,14.9
06-06-2022 07:38,170.15,105.15,5.44,54.45,5.1,3752.29,30.4,91.35,46.67,899.94,43.53,83.72,210.79,201.64,926.36,72.93,156.4,905.43,325.04,96.73,20.5,86.4,132.5,212.5,14.7,750,12.9
06-06-2022 08:21,169.39,104.68,5.42,54.2,5.08,3750.04,29.81,90.72,46.79,899.94,43.21,86.64,214.99,176.12,906.53,59.1,145.43,905.41,325.99,96.68,19.6,83.9,135.3,212.8,14.65,750,13.5
06-06-2022 09:27,160.16,98.98,5.13,51.25,4.8,3662.8,32.94,92.37,47.1,889.99,43.43,67.84,163.71,55.4,942.44,39.57,130.73,905.31,337.96,96.96,22.5,86.9,134.2,212.5,14.9,750,13.8
06-06-2022 10:20,160.23,99.02,5.13,51.27,4.81,3679,32.39,91.96,44.22,849.98,40.17,75.62,180.77,74.99,942.46,43.86,133.9,905.31,338.28,95.79,20.1,85,133.4,213.3,14.33,750,14.3
06-06-2022 11:36,159.51,98.58,5.1,51.04,4.79,3669.34,29.5,89.54,43.41,899.94,45.39,78.37,200.13,66.52,936.91,33.31,131.84,905.28,337.73,96.93,20.3,85.2,135.4,212.6,14.33,750,14.8
06-06-2022 12:25,169.38,104.68,5.42,54.2,5.08,3690.38,29.35,96.34,40.29,899.94,46.08,79.1,194.39,89.06,937.24,31.86,136.08,905.24,335.78,96.85,19.5,86.9,133.4,212.3,14.6,750,15.2
06-06-2022 14:21,160.58,99.24,5.14,51.38,4.82,3660.74,28.09,89.54,43.81,899.94,43.38,82.31,174.48,111.27,952.12,58.64,143.59,895.26,324.74,96.75,20.4,88.3,133.3,211.6,15.2,750,14.3
